Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,avg_temp
Algeria,Potatoes,1995,136768,89.0,17.36
Algeria,Rice,1995,19598,89.0,17.36
Algeria,Sorghum,1995,12667,89.0,17.36
Algeria,Wheat,1995,8924,89.0,17.36
Algeria,Maize,1996,17154,89.0,16.76
Algeria,Potatoes,1996,134629,89.0,16.76
Algeria,Rice,1996,17861,89.0,16.76
Algeria,Sorghum,1996,14750,89.0,16.76
Algeria,Wheat,1996,13090,89.0,16.76
Algeria,Maize,1997,21417,89.0,17.84
Algeria,Potatoes,1997,141042,89.0,17.84
Algeria,Rice,1997,15000,89.0,17.84
Algeria,Sorghum,1997,40000,89.0,17.84
Algeria,Wheat,1997,8016,89.0,17.84
Algeria,Maize,1998,17222,89.0,17.14
Algeria,Potatoes,1998,160256,89.0,17.14
Algeria,Rice,1998,15000,89.0,17.14
Algeria,Sorghum,1998,24500,89.0,17.14
Algeria,Wheat,1998,8847,89.0,17.14
Algeria,Maize,1999,22375,89.0,17.97
Algeria,Potatoes,1999,153532,89.0,17.97
Algeria,Rice,1999,13942,89.0,17.97
Algeria,Sorghum,1999,27000,89.0,17.97
Algeria,Wheat,1999,10711,89.0,17.97
Angola,Cassava,1990,41177,1010.0,24.12
Angola,Maize,1990,2736,1010.0,24.12
Angola,Potatoes,1990,40000,1010.0,24.12
Angola,Rice,1990,9512,1010.0,24.12
Angola,Sweet potatoes,1990,89342,1010.0,24.12
Angola,Wheat,1990,7995,1010.0,24.12
Angola,Cassava,1991,40295,1010.0,24.02
Angola,Maize,1991,4013,1010.0,24.02
Angola,Potatoes,1991,40000,1010.0,24.02
Angola,Rice,1991,10000,1010.0,24.02
Angola,Sweet potatoes,1991,83001,1010.0,24.02
Angola,Wheat,1991,8000,1010.0,24.02
Angola,Cassava,1992,42295,1010.0,23.96
Angola,Maize,1992,3778,1010.0,23.96
Angola,Potatoes,1992,40000,1010.0,23.96
Angola,Rice,1992,9106,1010.0,23.96
Angola,Sweet potatoes,1992,90000,1010.0,23.96
Angola,Wheat,1992,8000,1010.0,23.96
Angola,Cassava,1993,42295,1010.0,24.15
Angola,Maize,1993,2627,1010.0,24.15
Angola,Potatoes,1993,70000,1010.0,24.15
Angola,Rice,1993,8000,1010.0,24.15
Angola,Sweet potatoes,1993,88095,1010.0,24.15
Angola,Wheat,1993,8876,1010.0,24.15
Angola,Cassava,1994,58596,1010.0,24.04
Angola,Maize,1994,2463,1010.0,24.04
Angola,Potatoes,1994,90000,1010.0,24.04
Angola,Rice,1994,8750,1010.0,24.04
Angola,Sweet potatoes,1994,83192,1010.0,24.04
Angola,Wheat,1994,10000,1010.0,24.04
Angola,Cassava,1995,51000,1010.0,24.56
Angola,Maize,1995,3517,1010.0,24.56
Angola,Potatoes,1995,76738,1010.0,24.56
Angola,Rice,1995,14615,1010.0,24.56
Angola,Sweet potatoes,1995,81138,1010.0,24.56
Angola,Wheat,1995,11855,1010.0,24.56
Angola,Cassava,1996,48077,1010.0,24.11
Angola,Maize,1996,6993,1010.0,24.11
Angola,Potatoes,1996,70000,1010.0,24.11
Angola,Rice,1996,17500,1010.0,24.11
Angola,Sweet potatoes,1996,85455,1010.0,24.11
Angola,Wheat,1996,13738,1010.0,24.11
Angola,Cassava,1997,44205,1010.0,24.06
Angola,Maize,1997,5959,1010.0,24.06
Angola,Potatoes,1997,68571,1010.0,24.06
Angola,Rice,1997,20000,1010.0,24.06
Angola,Sweet potatoes,1997,78098,1010.0,24.06
Angola,Wheat,1997,15509,1010.0,24.06
Angola,Cassava,1998,55728,1010.0,24.96
Angola,Maize,1998,7396,1010.0,24.96
Angola,Potatoes,1998,62724,1010.0,24.96
Angola,Rice,1998,20000,1010.0,24.96
Angola,Sweet potatoes,1998,76256,1010.0,24.96
Angola,Wheat,1998,17143,1010.0,24.96
Angola,Cassava,1999,59821,1010.0,24.37
Angola,Maize,1999,6361,1010.0,24.37
Angola,Potatoes,1999,54597,1010.0,24.37
Angola,Rice,1999,14235,1010.0,24.37
Angola,Sweet potatoes,1999,82865,1010.0,24.37
Angola,Wheat,1999,17391,1010.0,24.37
Argentina,Cassava,1990,100000,591.0,17.46
Argentina,Cassava,1990,100000,591.0,17.67
Argentina,Maize,1990,34608,591.0,17.46
Argentina,Maize,1990,34608,591.0,17.67
Argentina,Potatoes,1990,202747,591.0,17.46
Argentina,Potatoes,1990,202747,591.0,17.67
Argentina,Rice,1990,36709,591.0,17.46
Argentina,Rice,1990,36709,591.0,17.67
Argentina,Sorghum,1990,28116,591.0,17.46
Argentina,Sorghum,1990,28116,591.0,17.67
Argentina,Soybeans,1990,21566,591.0,17.46
Argentina,Soybeans,1990,21566,591.0,17.67
Argentina,Sweet potatoes,1990,131864,591.0,17.46
Argentina,Sweet potatoes,1990,131864,591.0,17.67
Argentina,Wheat,1990,18947,591.0,17.46
Argentina,Wheat,1990,18947,591.0,17.67
Argentina,Cassava,1991,100000,591.0,17.64
Argentina,Cassava,1991,100000,591.0,17.86
Argentina,Maize,1991,40444,591.0,17.64
Argentina,Maize,1991,40444,591.0,17.86
Argentina,Potatoes,1991,205692,591.0,17.64
Argentina,Potatoes,1991,205692,591.0,17.86
Argentina,Rice,1991,40294,591.0,17.64
Argentina,Rice,1991,40294,591.0,17.86
Argentina,Sorghum,1991,33320,591.0,17.64
Argentina,Sorghum,1991,33320,591.0,17.86
Argentina,Soybeans,1991,22750,591.0,17.64
Argentina,Soybeans,1991,22750,591.0,17.86
Argentina,Sweet potatoes,1991,131364,591.0,17.64
Argentina,Sweet potatoes,1991,131364,591.0,17.86
Argentina,Wheat,1991,18972,591.0,17.64
Argentina,Wheat,1991,18972,591.0,17.86
Argentina,Cassava,1992,100000,591.0,17.09
Argentina,Cassava,1992,100000,591.0,17.51
Argentina,Maize,1992,45237,591.0,17.09
Argentina,Maize,1992,45237,591.0,17.51
Argentina,Potatoes,1992,199039,591.0,17.09
Argentina,Potatoes,1992,199039,591.0,17.51
Argentina,Rice,1992,52075,591.0,17.09
Argentina,Rice,1992,52075,591.0,17.51
Argentina,Sorghum,1992,36217,591.0,17.09
Argentina,Sorghum,1992,36217,591.0,17.51
Argentina,Soybeans,1992,22915,591.0,17.09
Argentina,Soybeans,1992,22915,591.0,17.51
Argentina,Sweet potatoes,1992,127273,591.0,17.09
Argentina,Sweet potatoes,1992,127273,591.0,17.51
Argentina,Wheat,1992,21809,591.0,17.09
Argentina,Wheat,1992,21809,591.0,17.51
Argentina,Cassava,1993,100000,591.0,17.32
Argentina,Cassava,1993,100000,591.0,17.53
Argentina,Maize,1993,43552,591.0,17.32
Argentina,Maize,1993,43552,591.0,17.53
Argentina,Potatoes,1993,210314,591.0,17.32
Argentina,Potatoes,1993,210314,591.0,17.53
Argentina,Rice,1993,43559,591.0,17.32
Argentina,Rice,1993,43559,591.0,17.53
Argentina,Sorghum,1993,39529,591.0,17.32
Argentina,Sorghum,1993,39529,591.0,17.53
Argentina,Soybeans,1993,21589,591.0,17.32
Argentina,Soybeans,1993,21589,591.0,17.53
Argentina,Sweet potatoes,1993,122955,591.0,17.32
Argentina,Sweet potatoes,1993,122955,591.0,17.53
Argentina,Wheat,1993,23272,591.0,17.32
Argentina,Wheat,1993,23272,591.0,17.53
Argentina,Cassava,1994,100000,591.0,18.17
Argentina,Cassava,1994,100000,591.0,18.31
Argentina,Maize,1994,42371,591.0,18.17
Argentina,Maize,1994,42371,591.0,18.31
Argentina,Potatoes,1994,230166,591.0,18.17
Argentina,Potatoes,1994,230166,591.0,18.31
Argentina,Rice,1994,42989,591.0,18.17
Argentina,Rice,1994,42989,591.0,18.31
Argentina,Sorghum,1994,35065,591.0,18.17
Argentina,Sorghum,1994,35065,591.0,18.31
Argentina,Soybeans,1994,20386,591.0,18.17
Argentina,Soybeans,1994,20386,591.0,18.31
Argentina,Sweet potatoes,1994,176667,591.0,18.17
Argentina,Sweet potatoes,1994,176667,591.0,18.31
Argentina,Wheat,1994,20237,591.0,18.17
Argentina,Wheat,1994,20237,591.0,18.31
Argentina,Cassava,1995,100000,591.0,17.74
Argentina,Cassava,1995,100000,591.0,17.62
Argentina,Maize,1995,45223,591.0,17.74
Argentina,Maize,1995,45223,591.0,17.62
Argentina,Rice,1995,50306,591.0,17.74
Argentina,Rice,1995,50306,591.0,17.62
Argentina,Sorghum,1995,34588,591.0,17.74
Argentina,Sorghum,1995,34588,591.0,17.62
Argentina,Soybeans,1995,20446,591.0,17.74
Argentina,Soybeans,1995,20446,591.0,17.62
Argentina,Sweet potatoes,1995,168000,591.0,17.74
Argentina,Sweet potatoes,1995,168000,591.0,17.62
Argentina,Wheat,1995,21675,591.0,17.74
Argentina,Wheat,1995,21675,591.0,17.62
Argentina,Cassava,1996,100000,591.0,17.64
Argentina,Cassava,1996,100000,591.0,17.97
Argentina,Maize,1996,40397,591.0,17.64
Argentina,Maize,1996,40397,591.0,17.97
Argentina,Potatoes,1996,228877,591.0,17.64
Argentina,Potatoes,1996,228877,591.0,17.97
Argentina,Rice,1996,51031,591.0,17.64
Argentina,Rice,1996,51031,591.0,17.97
Argentina,Sorghum,1996,38763,591.0,17.64
Argentina,Sorghum,1996,38763,591.0,17.97
Argentina,Soybeans,1996,21051,591.0,17.64
Argentina,Soybeans,1996,21051,591.0,17.97
Argentina,Sweet potatoes,1996,170000,591.0,17.64
Argentina,Sweet potatoes,1996,170000,591.0,17.97
Argentina,Wheat,1996,19344,591.0,17.64
Argentina,Wheat,1996,19344,591.0,17.97
Argentina,Cassava,1997,100000,591.0,18.29
Argentina,Cassava,1997,100000,591.0,18.54
Argentina,Maize,1997,45557,591.0,18.29
Argentina,Maize,1997,45557,591.0,18.54
Argentina,Rice,1997,53703,591.0,18.29
Argentina,Rice,1997,53703,591.0,18.54
Argentina,Sorghum,1997,36845,591.0,18.29
Argentina,Sorghum,1997,36845,591.0,18.54
Argentina,Soybeans,1997,17212,591.0,18.29
Argentina,Soybeans,1997,17212,591.0,18.54
Argentina,Sweet potatoes,1997,145662,591.0,18.29
Argentina,Sweet potatoes,1997,145662,591.0,18.54
Argentina,Wheat,1997,22426,591.0,18.29
Argentina,Wheat,1997,22426,591.0,18.54
Argentina,Cassava,1998,100000,591.0,17.23
Argentina,Cassava,1998,100000,591.0,17.52
Argentina,Maize,1998,60780,591.0,17.23
Argentina,Maize,1998,60780,591.0,17.52
Argentina,Rice,1998,47762,591.0,17.23
Argentina,Rice,1998,47762,591.0,17.52
Argentina,Sorghum,1998,48105,591.0,17.23
Argentina,Sorghum,1998,48105,591.0,17.52
Argentina,Soybeans,1998,26937,591.0,17.23
Argentina,Soybeans,1998,26937,591.0,17.52
Argentina,Sweet potatoes,1998,175055,591.0,17.23
Argentina,Sweet potatoes,1998,175055,591.0,17.52
Argentina,Wheat,1998,26088,591.0,17.23
Argentina,Wheat,1998,26088,591.0,17.52
Argentina,Cassava,1999,100000,591.0,17.15
Argentina,Cassava,1999,100000,591.0,17.71
Argentina,Maize,1999,53702,591.0,17.15
Argentina,Maize,1999,53702,591.0,17.71
Argentina,Rice,1999,57337,591.0,17.15
Argentina,Rice,1999,57337,591.0,17.71
Argentina,Sorghum,1999,43845,591.0,17.15
Argentina,Sorghum,1999,43845,591.0,17.71
Argentina,Soybeans,1999,24450,591.0,17.15
Argentina,Soybeans,1999,24450,591.0,17.71
Argentina,Sweet potatoes,1999,143991,591.0,17.15
Argentina,Sweet potatoes,1999,143991,591.0,17.71
Argentina,Wheat,1999,23028,591.0,17.15
Argentina,Wheat,1999,23028,591.0,17.71
Armenia,Maize,1992,32344,562.0,7.44
Armenia,Potatoes,1992,111301,562.0,7.44
Armenia,Wheat,1992,21600,562.0,7.44
Armenia,Maize,1993,32261,562.0,7.69
Armenia,Potatoes,1993,134416,562.0,7.69
Armenia,Wheat,1993,22257,562.0,7.69
Armenia,Maize,1994,32667,562.0,8.84
Armenia,Potatoes,1994,131195,562.0,8.84
Armenia,Wheat,1994,17842,562.0,8.84
Armenia,Maize,1995,18261,562.0,9.76
Armenia,Potatoes,1995,131196,562.0,9.76
Armenia,Wheat,1995,25480,562.0,9.76
Armenia,Maize,1996,22239,562.0,9.55
Armenia,Potatoes,1996,129626,562.0,9.55
Armenia,Wheat,1996,23569,562.0,9.55
Armenia,Maize,1997,45548,562.0,9.1
Armenia,Potatoes,1997,109362,562.0,9.1
Armenia,Wheat,1997,17009,562.0,9.1
Armenia,Maize,1998,26082,562.0,10.28
Armenia,Potatoes,1998,134409,562.0,10.28
Armenia,Wheat,1998,20651,562.0,10.28
Armenia,Maize,1999,40303,562.0,10.11
Armenia,Potatoes,1999,130618,562.0,10.11
Armenia,Wheat,1999,19466,562.0,10.11
Australia,Maize,1990,41821,534.0,16.8
Australia,Maize,1990,41821,534.0,20.06
Australia,Maize,1990,41821,534.0,12.11
Australia,Maize,1990,41821,534.0,14.16
Australia,Maize,1990,41821,534.0,18.05
Australia,Maize,1990,41821,534.0,17.47
Australia,Rice,1990,88000,534.0,16.8
Australia,Rice,1990,88000,534.0,20.06
Australia,Rice,1990,88000,534.0,12.11
Australia,Rice,1990,88000,534.0,14.16
Australia,Rice,1990,88000,534.0,18.05
Australia,Rice,1990,88000,534.0,17.47
Australia,Sorghum,1990,24883,534.0,16.8
Australia,Sorghum,1990,24883,534.0,20.06
Australia,Sorghum,1990,24883,534.0,12.11
Australia,Sorghum,1990,24883,534.0,14.16
Australia,Sorghum,1990,24883,534.0,18.05
Australia,Sorghum,1990,24883,534.0,17.47
Australia,Soybeans,1990,15718,534.0,16.8
Australia,Soybeans,1990,15718,534.0,20.06
Australia,Soybeans,1990,15718,534.0,12.11
Australia,Soybeans,1990,15718,534.0,14.16
Australia,Soybeans,1990,15718,534.0,18.05
Australia,Soybeans,1990,15718,534.0,17.47
Australia,Sweet potatoes,1990,137140,534.0,16.8
Australia,Sweet potatoes,1990,137140,534.0,20.06
Australia,Sweet potatoes,1990,137140,534.0,12.11
Australia,Sweet potatoes,1990,137140,534.0,14.16
Australia,Sweet potatoes,1990,137140,534.0,18.05
Australia,Sweet potatoes,1990,137140,534.0,17.47
Australia,Wheat,1990,16344,534.0,16.8
Australia,Wheat,1990,16344,534.0,20.06
Australia,Wheat,1990,16344,534.0,12.11
Australia,Wheat,1990,16344,534.0,14.16
Australia,Wheat,1990,16344,534.0,18.05
Australia,Wheat,1990,16344,534.0,17.47
Australia,Maize,1991,39938,534.0,16.78
Australia,Maize,1991,39938,534.0,20.29
Australia,Maize,1991,39938,534.0,12.22
Australia,Maize,1991,39938,534.0,13.77
Australia,Maize,1991,39938,534.0,18.73
Australia,Maize,1991,39938,534.0,17.85
Australia,Rice,1991,88427,534.0,16.78
Australia,Rice,1991,88427,534.0,20.29
Australia,Rice,1991,88427,534.0,12.22
Australia,Rice,1991,88427,534.0,13.77
Australia,Rice,1991,88427,534.0,18.73
Australia,Rice,1991,88427,534.0,17.85
Australia,Sorghum,1991,19865,534.0,16.78
Australia,Sorghum,1991,19865,534.0,20.29
Australia,Sorghum,1991,19865,534.0,12.22
Australia,Sorghum,1991,19865,534.0,13.77
Australia,Sorghum,1991,19865,534.0,18.73
Australia,Sorghum,1991,19865,534.0,17.85
Australia,Soybeans,1991,15551,534.0,16.78
Australia,Soybeans,1991,15551,534.0,20.29
Australia,Soybeans,1991,15551,534.0,12.22
Australia,Soybeans,1991,15551,534.0,13.77
Australia,Soybeans,1991,15551,534.0,18.73
Australia,Soybeans,1991,15551,534.0,17.85
Australia,Sweet potatoes,1991,151142,534.0,16.78
Australia,Sweet potatoes,1991,151142,534.0,20.29
Australia,Sweet potatoes,1991,151142,534.0,12.22
Australia,Sweet potatoes,1991,151142,534.0,13.77
Australia,Sweet potatoes,1991,151142,534.0,18.73
Australia,Sweet potatoes,1991,151142,534.0,17.85
Australia,Wheat,1991,14698,534.0,16.78
Australia,Wheat,1991,14698,534.0,20.29
Australia,Wheat,1991,14698,534.0,12.22
Australia,Wheat,1991,14698,534.0,13.77
Australia,Wheat,1991,14698,534.0,18.73
Australia,Wheat,1991,14698,534.0,17.85
Australia,Maize,1992,51721,534.0,15.78
Australia,Maize,1992,51721,534.0,19.79
Australia,Maize,1992,51721,534.0,11.21
Australia,Maize,1992,51721,534.0,13.31
Australia,Maize,1992,51721,534.0,18.45
Australia,Maize,1992,51721,534.0,16.89
Australia,Rice,1992,88346,534.0,15.78
Australia,Rice,1992,88346,534.0,19.79
Australia,Rice,1992,88346,534.0,11.21
Australia,Rice,1992,88346,534.0,13.31
Australia,Rice,1992,88346,534.0,18.45
Australia,Rice,1992,88346,534.0,16.89
Australia,Sorghum,1992,25431,534.0,15.78
Australia,Sorghum,1992,25431,534.0,19.79
Australia,Sorghum,1992,25431,534.0,11.21
Australia,Sorghum,1992,25431,534.0,13.31
Australia,Sorghum,1992,25431,534.0,18.45
Australia,Sorghum,1992,25431,534.0,16.89
Australia,Soybeans,1992,21141,534.0,15.78
Australia,Soybeans,1992,21141,534.0,19.79
Australia,Soybeans,1992,21141,534.0,11.21
Australia,Soybeans,1992,21141,534.0,13.31
Australia,Soybeans,1992,21141,534.0,18.45
Australia,Soybeans,1992,21141,534.0,16.89
Australia,Sweet potatoes,1992,127548,534.0,15.78
Australia,Sweet potatoes,1992,127548,534.0,19.79
Australia,Sweet potatoes,1992,127548,534.0,11.21
Australia,Sweet potatoes,1992,127548,534.0,13.31
Australia,Sweet potatoes,1992,127548,534.0,18.45
Australia,Sweet potatoes,1992,127548,534.0,16.89
Australia,Wheat,1992,17812,534.0,15.78
Australia,Wheat,1992,17812,534.0,19.79
Australia,Wheat,1992,17812,534.0,11.21
Australia,Wheat,1992,17812,534.0,13.31
Australia,Wheat,1992,17812,534.0,18.45
Australia,Wheat,1992,17812,534.0,16.89
Australia,Maize,1993,44261,534.0,16.71
Australia,Maize,1993,44261,534.0,20.19
Australia,Maize,1993,44261,534.0,11.84
Australia,Maize,1993,44261,534.0,13.81
Australia,Maize,1993,44261,534.0,18.03
Australia,Maize,1993,44261,534.0,17.42
Australia,Rice,1993,76400,534.0,16.71
Australia,Rice,1993,76400,534.0,20.19
Australia,Rice,1993,76400,534.0,11.84
Australia,Rice,1993,76400,534.0,13.81
Australia,Rice,1993,76400,534.0,18.03
Australia,Rice,1993,76400,534.0,17.42
Australia,Sorghum,1993,12834,534.0,16.71
Australia,Sorghum,1993,12834,534.0,20.19
Australia,Sorghum,1993,12834,534.0,11.84
Australia,Sorghum,1993,12834,534.0,13.81
Australia,Sorghum,1993,12834,534.0,18.03
Australia,Sorghum,1993,12834,534.0,17.42
Australia,Soybeans,1993,16168,534.0,16.71
Australia,Soybeans,1993,16168,534.0,20.19
Australia,Soybeans,1993,16168,534.0,11.84
Australia,Soybeans,1993,16168,534.0,13.81
Australia,Soybeans,1993,16168,534.0,18.03
Australia,Soybeans,1993,16168,534.0,17.42
Australia,Sweet potatoes,1993,132702,534.0,16.71
Australia,Sweet potatoes,1993,132702,534.0,20.19
Australia,Sweet potatoes,1993,132702,534.0,11.84
Australia,Sweet potatoes,1993,132702,534.0,13.81
Australia,Sweet potatoes,1993,132702,534.0,18.03
Australia,Sweet potatoes,1993,132702,534.0,17.42
Australia,Wheat,1993,19658,534.0,16.71
Australia,Wheat,1993,19658,534.0,20.19
Australia,Wheat,1993,19658,534.0,11.84
Australia,Wheat,1993,19658,534.0,13.81
Australia,Wheat,1993,19658,534.0,18.03
Australia,Wheat,1993,19658,534.0,17.42
Australia,Maize,1994,46620,534.0,16.43
Australia,Maize,1994,46620,534.0,19.59
Australia,Maize,1994,46620,534.0,11.6
Australia,Maize,1994,46620,534.0,13.52
Australia,Maize,1994,46620,534.0,19.17
Australia,Maize,1994,46620,534.0,17.36
Australia,Rice,1994,81537,534.0,16.43
Australia,Rice,1994,81537,534.0,19.59
Australia,Rice,1994,81537,534.0,11.6
Australia,Rice,1994,81537,534.0,13.52
Australia,Rice,1994,81537,534.0,19.17
Australia,Rice,1994,81537,534.0,17.36
Australia,Sorghum,1994,21697,534.0,16.43
Australia,Sorghum,1994,21697,534.0,19.59
Australia,Sorghum,1994,21697,534.0,11.6
Australia,Sorghum,1994,21697,534.0,13.52
Australia,Sorghum,1994,21697,534.0,19.17
Australia,Sorghum,1994,21697,534.0,17.36
Australia,Soybeans,1994,19999,534.0,16.43
Australia,Soybeans,1994,19999,534.0,19.59
Australia,Soybeans,1994,19999,534.0,11.6
Australia,Soybeans,1994,19999,534.0,13.52
Australia,Soybeans,1994,19999,534.0,19.17
Australia,Soybeans,1994,19999,534.0,17.36
Australia,Sweet potatoes,1994,140961,534.0,16.43
Australia,Sweet potatoes,1994,140961,534.0,19.59
Australia,Sweet potatoes,1994,140961,534.0,11.6
Australia,Sweet potatoes,1994,140961,534.0,13.52
Australia,Sweet potatoes,1994,140961,534.0,19.17
Australia,Sweet potatoes,1994,140961,534.0,17.36
Australia,Wheat,1994,11356,534.0,16.43
Australia,Wheat,1994,11356,534.0,19.59
Australia,Wheat,1994,11356,534.0,11.6
Australia,Wheat,1994,11356,534.0,13.52
Australia,Wheat,1994,11356,534.0,19.17
Australia,Wheat,1994,11356,534.0,17.36
Australia,Maize,1995,48263,534.0,16.14
Australia,Maize,1995,48263,534.0,20.12
Australia,Maize,1995,48263,534.0,11.39
Australia,Maize,1995,48263,534.0,13.14
Australia,Maize,1995,48263,534.0,18.88
Australia,Maize,1995,48263,534.0,16.95
Australia,Rice,1995,88003,534.0,16.14
Australia,Rice,1995,88003,534.0,20.12
Australia,Rice,1995,88003,534.0,11.39
Australia,Rice,1995,88003,534.0,13.14
Australia,Rice,1995,88003,534.0,18.88
Australia,Rice,1995,88003,534.0,16.95
Australia,Sorghum,1995,18555,534.0,16.14
Australia,Sorghum,1995,18555,534.0,20.12
Australia,Sorghum,1995,18555,534.0,11.39
Australia,Sorghum,1995,18555,534.0,13.14
Australia,Sorghum,1995,18555,534.0,18.88
Australia,Sorghum,1995,18555,534.0,16.95
Australia,Soybeans,1995,15318,534.0,16.14
Australia,Soybeans,1995,15318,534.0,20.12
Australia,Soybeans,1995,15318,534.0,11.39
Australia,Soybeans,1995,15318,534.0,13.14
Australia,Soybeans,1995,15318,534.0,18.88
Australia,Soybeans,1995,15318,534.0,16.95
Australia,Sweet potatoes,1995,155252,534.0,16.14
Australia,Sweet potatoes,1995,155252,534.0,20.12
Australia,Sweet potatoes,1995,155252,534.0,11.39
Australia,Sweet potatoes,1995,155252,534.0,13.14
Australia,Sweet potatoes,1995,155252,534.0,18.88
Australia,Sweet potatoes,1995,155252,534.0,16.95
Australia,Wheat,1995,17899,534.0,16.14
Australia,Wheat,1995,17899,534.0,20.12
Australia,Wheat,1995,17899,534.0,11.39
Australia,Wheat,1995,17899,534.0,13.14
Australia,Wheat,1995,17899,534.0,18.88
Australia,Wheat,1995,17899,534.0,16.95
Australia,Maize,1996,57689,534.0,16.12
Australia,Maize,1996,57689,534.0,20.06
Australia,Maize,1996,57689,534.0,11.29
Australia,Maize,1996,57689,534.0,13.05
Australia,Maize,1996,57689,534.0,19.13
Australia,Maize,1996,57689,534.0,17.05
Australia,Rice,1996,63540,534.0,16.12
Australia,Rice,1996,63540,534.0,20.06
Australia,Rice,1996,63540,534.0,11.29
Australia,Rice,1996,63540,534.0,13.05
Australia,Rice,1996,63540,534.0,19.13
Australia,Rice,1996,63540,534.0,17.05
Australia,Sorghum,1996,20677,534.0,16.12
Australia,Sorghum,1996,20677,534.0,20.06
Australia,Sorghum,1996,20677,534.0,11.29
Australia,Sorghum,1996,20677,534.0,13.05
Australia,Sorghum,1996,20677,534.0,19.13
Australia,Sorghum,1996,20677,534.0,17.05
Australia,Soybeans,1996,18740,534.0,16.12
Australia,Soybeans,1996,18740,534.0,20.06
Australia,Soybeans,1996,18740,534.0,11.29
Australia,Soybeans,1996,18740,534.0,13.05
Australia,Soybeans,1996,18740,534.0,19.13
Australia,Soybeans,1996,18740,534.0,17.05
Australia,Sweet potatoes,1996,172474,534.0,16.12
Australia,Sweet potatoes,1996,172474,534.0,20.06
Australia,Sweet potatoes,1996,172474,534.0,11.29
Australia,Sweet potatoes,1996,172474,534.0,13.05
Australia,Sweet potatoes,1996,172474,534.0,19.13
